imagem,condicao,metodo,palavras_anotadas,precisao,revocacao,f1,angulo_corrigido
82092117,scan original,sem pré-processamento,222,0.6124,0.5766,0.594,
82092117,scan original,pipeline do projeto,222,0.854,0.8694,0.8616,0.0
82092117,foto simulada,sem pré-processamento,222,0.3103,0.1216,0.1748,
82092117,foto simulada,pipeline do projeto,222,0.8106,0.8288,0.8196,-5.3
82200067_0069,scan original,sem pré-processamento,153,0.4846,0.4118,0.4452,
82200067_0069,scan original,pipeline do projeto,153,0.4107,0.451,0.4299,0.0
82200067_0069,foto simulada,sem pré-processamento,153,0.2745,0.0915,0.1373,
82200067_0069,foto simulada,pipeline do projeto,153,0.4348,0.3922,0.4124,5.1
82250337_0338,scan original,sem pré-processamento,214,0.7826,0.757,0.7696,
82250337_0338,scan original,pipeline do projeto,214,0.8767,0.8972,0.8868,-0.4
82250337_0338,foto simulada,sem pré-processamento,214,0.4466,0.215,0.2902,
82250337_0338,foto simulada,pipeline do projeto,214,0.8357,0.8318,0.8337,4.1
82251504,scan original,sem pré-processamento,224,0.7023,0.4107,0.5183,
82251504,scan original,pipeline do projeto,224,0.7677,0.5312,0.628,0.7
82251504,foto simulada,sem pré-processamento,224,0.5345,0.2768,0.3647,
82251504,foto simulada,pipeline do projeto,224,0.6642,0.3973,0.4972,-5.0
82252956_2958,scan original,sem pré-processamento,114,0.5882,0.614,0.6009,
82252956_2958,scan original,pipeline do projeto,114,0.5896,0.693,0.6371,0.0
82252956_2958,foto simulada,sem pré-processamento,114,0.5395,0.3596,0.4316,
82252956_2958,foto simulada,pipeline do projeto,114,0.4865,0.6316,0.5496,3.1
82253058_3059,scan original,sem pré-processamento,184,0.8192,0.788,0.8033,
82253058_3059,scan original,pipeline do projeto,184,0.8343,0.8207,0.8274,0.0
82253058_3059,foto simulada,sem pré-processamento,184,0.3719,0.2446,0.2951,
82253058_3059,foto simulada,pipeline do projeto,184,0.809,0.7826,0.7956,-5.4
